Sample in Buffer,Sample in Window,TRIGGER,ila_data[639:0],bram_address[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
53,53,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
54,54,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
55,55,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
56,56,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
57,57,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
58,58,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
59,59,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
60,60,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
61,61,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
62,62,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
63,63,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
64,64,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
65,65,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
66,66,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
67,67,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
68,68,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
69,69,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
70,70,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
71,71,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
72,72,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
73,73,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
74,74,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
75,75,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
76,76,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
77,77,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
